"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"94","2","1","2","1","2","1","1","1","1","2","2","2","2","1","2","2","1","1","2","2","2","2","1","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","3","3","3","3","7","2","4","1","6","7","3","5","2","8","6"
"95","2","1","1","2","2","1","2","2","2","1","2","2","1","2","1","2","2","1","2","2","1","1","1","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","1","2","3","4","2","2","2","1","3","5","2","8","5","4","8"
"96","2","1","1","2","2","1","2","2","2","1","2","2","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","1","1","1","4","3","2","1","8","1","7","3","7","6","3","2","4","7","8"
"97","1","1","2","1","1","2","1","2","1","2","2","1","1","1","1","1","1","2","1","2","1","2","2","2","2","1","1","1","1","2","1","2","2","1","2","2","2","1","4","2","1","3","4","2","7","6","8","3","4","2","8","4","6"
"98","1","1","1","2","1","2","1","2","1","1","1","2","2","1","2","2","1","2","2","1","2","1","2","1","1","1","1","2","2","1","1","1","1","1","1","2","2","1","4","2","1","3","2","8","6","4","2","7","2","3","4","1","4"
"99","2","1","1","2","2","1","2","2","2","2","1","2","1","2","2","1","2","2","2","1","1","2","2","2","1","2","2","2","1","1","2","2","2","1","2","1","2","2","3","4","1","2","2","4","4","2","8","1","1","6","4","6","6"
"100","1","1","2","2","2","2","1","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","3","4","2","4","2","8","4","1","6","6","6","6","3","5"
"101","2","1","2","2","1","1","1","1","2","1","2","1","1","1","1","1","1","1","2","2","2","2","1","2","1","2","1","2","2","2","1","2","1","2","2","2","1","2","4","4","4","4","7","4","1","8","8","6","6","3","5","1","7"
"102","2","2","1","1","2","2","1","2","1","1","1","2","1","2","1","2","2","2","2","1","1","1","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","2","4","3","1","1","8","6","8","1","6","5","5","3","4","6"
"103","2","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","3","3","3","3","5","8","1","7","4","3","1","8","6","5","4"
"104","2","2","2","2","2","2","1","2","1","2","2","1","2","2","2","1","2","2","1","2","2","2","1","2","1","2","2","2","1","1","1","1","1","1","1","2","1","2","2","4","3","1","3","2","7","2","7","2","7","8","7","1","4"
"105","2","2","2","2","2","2","2","1","2","2","1","2","1","2","1","1","1","2","1","2","2","2","1","1","1","1","2","1","2","1","2","2","1","1","1","2","1","2","1","4","2","3","2","7","1","6","4","7","5","2","1","3","8"
"106","1","1","2","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","2","1","1","2","2","2","2","1","1","2","2","2","2","1","1","1","1","1","1","1","2","4","3","1","6","3","3","1","2","1","8","2","6","2","7"
"107","2","1","2","2","1","1","2","2","1","1","1","2","1","2","1","2","2","1","1","1","2","2","1","2","2","1","1","2","2","1","2","2","2","1","2","2","2","1","2","1","4","3","4","6","2","2","7","4","5","3","6","8","3"
"108","2","1","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","2","1","2","1","1","1","2","1","2","1","2","2","4","4","4","4","3","5","6","6","3","8","3","4","6","8","2"
"109","1","2","2","1","2","1","2","2","1","2","2","2","1","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","3","4","1","2","5","7","5","7","7","6","4","1","5","8","7"
"110","1","2","2","1","2","1","2","2","1","1","1","2","1","2","1","1","1","1","2","2","1","2","2","1","2","2","2","2","1","1","2","2","2","2","1","2","2","1","1","2","3","4","5","5","7","8","4","2","3","3","4","2","5"
"111","2","1","2","1","2","1","2","2","2","2","1","1","2","2","2","1","2","1","1","1","2","2","1","1","1","1","1","2","2","2","1","2","2","2","1","1","2","2","1","2","3","4","4","8","3","7","5","1","4","5","1","1","2"
"112","2","2","1","2","1","2","2","1","1","2","2","2","2","1","2","2","1","2","1","2","1","1","1","2","2","1","2","1","2","2","1","2","1","1","1","1","2","2","3","2","4","1","6","4","8","7","4","1","3","3","7","4","3"
"113","1","2","2","2","1","1","2","2","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","1","1","1","1","2","2","1","2","2","2","1","2","1","1","1","1","2","3","4","3","6","1","4","1","8","8","1","7","6","6"
"114","1","1","2","2","2","2","1","2","2","1","2","2","2","1","2","2","1","2","1","2","1","2","2","1","1","1","1","1","1","1","2","2","2","2","1","1","2","2","3","1","2","4","4","4","6","3","6","2","5","8","3","5","7"
"115","2","2","2","1","1","2","1","2","2","2","1","2","1","2","2","1","2","1","1","1","2","1","2","1","1","1","1","1","1","2","1","2","2","1","2","1","1","1","3","1","2","4","3","2","8","8","2","7","1","4","5","2","3"
